Contig	EC_no.	Enzyme_name
c1235_g1_i1	2.4.1.115	anthocyanidin 3-O-glucosyltransferase
c2030_g1_i1	2.3.1.172	anthocyanin 5-O-glucoside 6'''-O-malonyltransferase
c8983_g1_i1	2.4.1.115	anthocyanidin 3-O-glucosyltransferase
c10478_g1_i1	2.3.1.172	anthocyanin 5-O-glucoside 6'''-O-malonyltransferase
c11655_g1_i1	2.3.1.172	anthocyanin 5-O-glucoside 6'''-O-malonyltransferase
c11655_g1_i2	2.3.1.172	anthocyanin 5-O-glucoside 6'''-O-malonyltransferase
c14532_g1_i1	2.3.1.172	anthocyanin 5-O-glucoside 6'''-O-malonyltransferase
c14532_g1_i2	2.3.1.172	anthocyanin 5-O-glucoside 6'''-O-malonyltransferase
c14964_g1_i1	2.3.1.172	anthocyanin 5-O-glucoside 6'''-O-malonyltransferase
c18250_g2_i1	2.3.1.172	anthocyanin 5-O-glucoside 6'''-O-malonyltransferase
c18250_g2_i2	2.3.1.172	anthocyanin 5-O-glucoside 6'''-O-malonyltransferase
c20303_g1_i1	2.4.1.115	anthocyanidin 3-O-glucosyltransferase
c21075_g2_i1	2.3.1.172	anthocyanin 5-O-glucoside 6'''-O-malonyltransferase
c22175_g1_i1	2.3.1.172	anthocyanin 5-O-glucoside 6'''-O-malonyltransferase
c22598_g1_i1	2.4.1.115	anthocyanidin 3-O-glucosyltransferase
c24207_g1_i1	2.3.1.172	anthocyanin 5-O-glucoside 6'''-O-malonyltransferase
c24350_g1_i1	2.3.1.172	anthocyanin 5-O-glucoside 6'''-O-malonyltransferase
c26519_g1_i1	2.3.1.172	anthocyanin 5-O-glucoside 6'''-O-malonyltransferase
c33198_g1_i1	2.3.1.171;2.3.1.172	anthocyanin 6''-O-malonyltransferase;anthocyanin 5-O-glucoside 6'''-O-malonyltransferase
c33987_g1_i1	2.4.1.115	anthocyanidin 3-O-glucosyltransferase
c34984_g1_i1	2.4.1.115	anthocyanidin 3-O-glucosyltransferase
c36176_g1_i1	2.3.1.172	anthocyanin 5-O-glucoside 6'''-O-malonyltransferase
c37800_g1_i1	2.3.1.172	anthocyanin 5-O-glucoside 6'''-O-malonyltransferase
c41275_g1_i1	2.3.1.172	anthocyanin 5-O-glucoside 6'''-O-malonyltransferase
c42167_g1_i1	2.3.1.172	anthocyanin 5-O-glucoside 6'''-O-malonyltransferase
